Post_ID,Neighborhood,Topic,Date,Sentiment,Text,Sentiment_Score
1,Harlem,Sanitation,2025-02-19,Neutral,Mixed feelings about transport.,0.05
2,Brooklyn Heights,Parks,2025-01-30,Neutral,Mixed feelings about transport.,-0.08
3,SoHo,Housing,2025-03-12,Negative,Too much noise and trash!,-0.4
4,SoHo,Infrastructure,2025-03-20,Positive,Great improvement in road maintenance.,0.24
5,Queens Village,Parks,2025-03-07,Negative,Buses keep getting delayed.,-0.84
6,Brooklyn Heights,Sanitation,2025-02-19,Neutral,Mixed feelings about transport.,0.06
7,Uptown,Parks,2025-04-01,Positive,Feeling safer at night recently.,0.79
8,Chinatown,Sanitation,2025-02-22,Neutral,Mixed feelings about transport.,-0.0
9,Downtown,Infrastructure,2025-02-20,Positive,Great improvement in road maintenance.,0.24
10,Uptown,Infrastructure,2025-02-08,Positive,Buses are on time lately!,0.69
11,Downtown,Transport,2025-02-06,Positive,Great improvement in road maintenance.,0.53
12,Midtown,Infrastructure,2025-03-31,Positive,Great improvement in road maintenance.,0.45
13,Midtown,Safety,2025-01-15,Neutral,Mixed feelings about transport.,0.03
14,Brooklyn Heights,Parks,2025-01-16,Negative,Buses keep getting delayed.,-0.65
15,Brooklyn Heights,Parks,2025-01-25,Neutral,Mixed feelings about transport.,-0.08
16,SoHo,Sanitation,2025-01-30,Positive,Feeling safer at night recently.,0.93
17,Harlem,Infrastructure,2025-02-12,Neutral,Average service overall.,0.06
18,Queens Village,Transport,2025-02-13,Positive,Great improvement in road maintenance.,0.25
19,Harlem,Transport,2025-01-09,Neutral,Parks are okay but could be better.,0.01
20,Uptown,Transport,2025-01-27,Neutral,Mixed feelings about transport.,-0.08
21,SoHo,Housing,2025-03-26,Positive,Great improvement in road maintenance.,0.87
22,Downtown,Safety,2025-03-12,Negative,Buses keep getting delayed.,-0.51
23,Chinatown,Infrastructure,2025-01-31,Negative,Roads full of potholes again.,-0.86
24,Bronx Park,Transport,2025-01-23,Positive,Great improvement in road maintenance.,0.22
25,Chelsea,Safety,2025-03-16,Positive,Love how clean my area looks now!,0.23
26,Midtown,Parks,2025-02-20,Negative,Roads full of potholes again.,-0.59
27,Harlem,Sanitation,2025-03-15,Positive,Great improvement in road maintenance.,0.79
28,Queens Village,Infrastructure,2025-02-25,Negative,Water leakage not fixed for weeks.,-0.9
29,Chinatown,Infrastructure,2025-01-28,Neutral,Parks are okay but could be better.,-0.06
30,Chinatown,Housing,2025-01-08,Positive,Feeling safer at night recently.,0.46
31,Midtown,Parks,2025-02-14,Positive,Buses are on time lately!,0.37
32,Chelsea,Infrastructure,2025-03-01,Neutral,Average service overall.,-0.02
33,Brooklyn Heights,Housing,2025-02-19,Neutral,Parks are okay but could be better.,0.01
34,Chinatown,Housing,2025-01-09,Neutral,Mixed feelings about transport.,0.04
35,Uptown,Housing,2025-02-16,Negative,Too much noise and trash!,-0.23
36,Uptown,Infrastructure,2025-02-16,Neutral,Average service overall.,0.09
37,Brooklyn Heights,Infrastructure,2025-02-14,Neutral,Average service overall.,0.01
38,Downtown,Infrastructure,2025-01-23,Negative,Too much noise and trash!,-0.41
39,SoHo,Safety,2025-02-14,Neutral,Average service overall.,0.09
40,Brooklyn Heights,Housing,2025-01-07,Negative,Water leakage not fixed for weeks.,-0.93
41,Chelsea,Safety,2025-02-23,Neutral,Parks are okay but could be better.,-0.1
42,Uptown,Sanitation,2025-03-28,Neutral,Parks are okay but could be better.,-0.09
43,Chinatown,Infrastructure,2025-03-12,Neutral,Mixed feelings about transport.,0.01
44,Uptown,Parks,2025-03-13,Positive,Buses are on time lately!,0.81
45,Bronx Park,Transport,2025-02-10,Negative,Roads full of potholes again.,-0.71
46,SoHo,Sanitation,2025-01-30,Positive,Love how clean my area looks now!,0.64
47,Queens Village,Transport,2025-01-04,Positive,Feeling safer at night recently.,0.61
48,Bronx Park,Transport,2025-03-05,Negative,Water leakage not fixed for weeks.,-0.92
49,Downtown,Infrastructure,2025-01-27,Positive,Love how clean my area looks now!,0.46
50,Midtown,Parks,2025-01-02,Negative,Too much noise and trash!,-0.98
51,Bronx Park,Transport,2025-01-09,Negative,Too much noise and trash!,-0.91
52,Downtown,Housing,2025-02-26,Positive,Love how clean my area looks now!,0.85
53,Downtown,Transport,2025-01-13,Neutral,Mixed feelings about transport.,0.07
54,Queens Village,Sanitation,2025-03-03,Negative,Water leakage not fixed for weeks.,-0.36
55,Midtown,Parks,2025-03-08,Neutral,Mixed feelings about transport.,0.05
56,Harlem,Parks,2025-01-25,Negative,Buses keep getting delayed.,-0.37
57,Brooklyn Heights,Transport,2025-02-22,Negative,Too much noise and trash!,-0.46
58,Chinatown,Parks,2025-01-16,Positive,Buses are on time lately!,0.74
59,Chelsea,Sanitation,2025-03-13,Positive,Great improvement in road maintenance.,0.73
60,Chelsea,Sanitation,2025-03-14,Negative,Buses keep getting delayed.,-0.59
61,Chelsea,Sanitation,2025-03-25,Neutral,Average service overall.,-0.03
62,Harlem,Housing,2025-03-20,Positive,Feeling safer at night recently.,0.78
63,Brooklyn Heights,Infrastructure,2025-01-04,Negative,Too much noise and trash!,-0.76
64,Chelsea,Transport,2025-01-20,Negative,Water leakage not fixed for weeks.,-0.57
65,Brooklyn Heights,Parks,2025-02-15,Negative,Water leakage not fixed for weeks.,-0.65
66,Chinatown,Sanitation,2025-01-21,Neutral,Average service overall.,-0.04
67,Chelsea,Transport,2025-01-08,Neutral,Parks are okay but could be better.,0.09
68,Midtown,Transport,2025-03-31,Negative,Water leakage not fixed for weeks.,-0.79
69,Downtown,Infrastructure,2025-03-28,Negative,Water leakage not fixed for weeks.,-0.75
70,Chelsea,Housing,2025-01-06,Negative,Buses keep getting delayed.,-0.87
71,Brooklyn Heights,Parks,2025-02-15,Negative,Too much noise and trash!,-0.34
72,Downtown,Housing,2025-01-22,Negative,Water leakage not fixed for weeks.,-0.53
73,Queens Village,Parks,2025-03-31,Negative,Water leakage not fixed for weeks.,-0.51
74,Chelsea,Sanitation,2025-02-21,Positive,Buses are on time lately!,0.86
75,Chelsea,Sanitation,2025-03-24,Positive,Buses are on time lately!,0.47
76,Bronx Park,Transport,2025-01-15,Negative,Buses keep getting delayed.,-0.85
77,Downtown,Parks,2025-02-09,Positive,Feeling safer at night recently.,0.36
78,Chelsea,Parks,2025-03-12,Positive,Feeling safer at night recently.,0.79
79,Midtown,Housing,2025-01-01,Positive,Great improvement in road maintenance.,0.69
80,Chinatown,Sanitation,2025-02-02,Positive,Buses are on time lately!,0.37
81,Downtown,Safety,2025-01-17,Neutral,Parks are okay but could be better.,-0.07
82,Chinatown,Transport,2025-02-27,Positive,Feeling safer at night recently.,0.3
83,SoHo,Parks,2025-02-09,Negative,Water leakage not fixed for weeks.,-0.5
84,Brooklyn Heights,Infrastructure,2025-01-09,Negative,Roads full of potholes again.,-1.0
85,Queens Village,Infrastructure,2025-03-26,Negative,Too much noise and trash!,-0.99
86,Bronx Park,Safety,2025-03-06,Positive,Buses are on time lately!,0.51
87,Midtown,Sanitation,2025-01-12,Negative,Roads full of potholes again.,-0.45
88,Queens Village,Sanitation,2025-02-26,Negative,Roads full of potholes again.,-0.44
89,Bronx Park,Sanitation,2025-01-31,Negative,Buses keep getting delayed.,-0.66
90,Queens Village,Housing,2025-03-26,Neutral,Parks are okay but could be better.,0.04
91,Queens Village,Infrastructure,2025-03-10,Neutral,Average service overall.,0.0
92,Uptown,Sanitation,2025-02-03,Neutral,Average service overall.,0.1
93,Brooklyn Heights,Infrastructure,2025-03-03,Negative,Water leakage not fixed for weeks.,-0.87
94,Harlem,Safety,2025-01-06,Negative,Water leakage not fixed for weeks.,-0.52
95,Bronx Park,Transport,2025-01-11,Negative,Too much noise and trash!,-0.61
96,Midtown,Housing,2025-01-17,Neutral,Mixed feelings about transport.,-0.06
97,Downtown,Parks,2025-01-06,Negative,Water leakage not fixed for weeks.,-0.4
98,Queens Village,Safety,2025-01-03,Positive,Buses are on time lately!,0.42
99,Queens Village,Infrastructure,2025-03-30,Negative,Too much noise and trash!,-0.69
100,Bronx Park,Safety,2025-03-12,Negative,Roads full of potholes again.,-0.7
101,SoHo,Parks,2025-01-03,Neutral,Mixed feelings about transport.,-0.05
102,Harlem,Housing,2025-03-21,Positive,Feeling safer at night recently.,0.54
103,Queens Village,Transport,2025-02-25,Neutral,Parks are okay but could be better.,-0.01
